timestamp,prompt_version,query_type,passed,failure_category,latency_ms,cost_usd
2026-09-14T18:23:28.372689,v3,Billing,1,None,0.02,0.0000
2026-09-14T18:23:28.373890,v3,Technical,1,None,0.20,0.0000
2026-09-14T18:23:28.375060,v3,Technical,1,None,0.15,0.0000
2026-09-14T18:23:28.376040,v3,Technical,1,None,0.10,0.0000
2026-09-14T18:23:28.377056,v3,Technical,1,None,0.22,0.0000
2026-09-14T18:23:28.377849,v3,Technical,1,None,0.06,0.0000
2026-09-14T18:23:28.378514,v3,Technical,1,None,0.05,0.0000
2026-09-14T18:23:28.379202,v3,Technical,1,None,0.05,0.0000
2026-09-14T18:23:28.379880,v3,Technical,1,None,0.05,0.0000
2026-09-14T18:23:28.380599,v3,Technical,1,None,0.05,0.0000
2026-09-14T18:23:28.381284,v3,Technical,1,None,0.05,0.0000
2026-09-14T18:23:28.381949,v3,Technical,1,None,0.06,0.0000
2026-09-14T18:23:28.382598,v3,Technical,1,None,0.05,0.0000
2026-09-14T18:23:28.383245,v3,Technical,1,None,0.05,0.0000
2026-09-14T18:23:28.383903,v3,Technical,1,None,0.05,0.0000
2026-09-14T18:23:28.384605,v3,Technical,1,None,0.05,0.0000
2026-09-14T18:23:28.385421,v3,Technical,1,None,0.06,0.0000
2026-09-14T18:23:28.386220,v3,Technical,1,None,0.06,0.0000
2026-09-14T18:23:28.387226,v3,Technical,1,None,0.20,0.0000
2026-09-14T18:23:28.388207,v3,Technical,1,None,0.17,0.0000
2026-09-14T18:23:28.388925,v3,Technical,1,None,0.05,0.0000
2026-09-14T18:23:28.389681,v3,Technical,1,None,0.06,0.0000
2026-09-14T18:23:28.390397,v3,Technical,1,None,0.05,0.0000
2026-09-14T18:23:28.391121,v3,Technical,1,None,0.05,0.0000
2026-09-14T18:23:28.391808,v3,Technical,1,None,0.07,0.0000
2026-09-14T18:23:28.392672,v3,Technical,1,None,0.24,0.0000
2026-09-14T18:23:28.393385,v3,Delivery,1,None,0.11,0.0000
2026-09-14T18:23:28.394109,v3,Delivery,1,None,0.13,0.0000
2026-09-14T18:23:28.395034,v3,Delivery,1,None,0.21,0.0000
2026-09-14T18:23:28.395798,v3,Delivery,1,None,0.08,0.0000
2026-09-14T18:23:28.396530,v3,Delivery,1,None,0.09,0.0000
2026-09-14T18:23:28.397234,v3,Delivery,1,None,0.08,0.0000
2026-09-14T18:23:28.397941,v3,Delivery,1,None,0.09,0.0000
2026-09-14T18:23:28.398635,v3,Delivery,1,None,0.08,0.0000
2026-09-14T18:23:28.399458,v3,Delivery,1,None,0.09,0.0000
2026-09-14T18:23:28.400190,v3,Delivery,1,None,0.08,0.0000
2026-09-14T18:23:28.400937,v3,Delivery,1,None,0.08,0.0000
2026-09-14T18:23:28.401705,v3,Delivery,1,None,0.10,0.0000
2026-09-14T18:23:28.402522,v3,Delivery,1,None,0.08,0.0000
2026-09-14T18:23:28.404346,v3,Delivery,1,None,0.58,0.0000
2026-09-14T18:23:28.405623,v3,Delivery,1,None,0.09,0.0000
2026-09-14T18:23:28.406465,v3,Delivery,1,None,0.10,0.0000
2026-09-14T18:23:28.407278,v3,Delivery,1,None,0.09,0.0000
2026-09-14T18:23:28.408036,v3,Delivery,1,None,0.10,0.0000
2026-09-14T18:23:28.408773,v3,Delivery,1,None,0.08,0.0000
2026-09-14T18:23:28.409581,v3,Delivery,1,None,0.08,0.0000
2026-09-14T18:23:28.410330,v3,Delivery,1,None,0.08,0.0000
2026-09-14T18:23:28.411051,v3,Delivery,1,None,0.07,0.0000
2026-09-14T18:23:28.411764,v3,Delivery,1,None,0.07,0.0000
2026-09-14T18:23:28.412480,v3,Delivery,1,None,0.08,0.0000
2026-09-14T18:23:28.413232,v3,Delivery,1,None,0.08,0.0000
2026-09-14T18:23:28.414083,v3,Account,1,None,0.11,0.0000
2026-09-14T18:23:28.414931,v3,Account,1,None,0.11,0.0000
2026-09-14T18:23:28.415737,v3,Account,1,None,0.09,0.0000
2026-09-14T18:23:28.416508,v3,Account,1,None,0.09,0.0000
2026-09-14T18:23:28.417247,v3,Account,1,None,0.08,0.0000
2026-09-14T18:23:28.417976,v3,Account,1,None,0.09,0.0000
2026-09-14T18:23:28.418773,v3,Account,1,None,0.12,0.0000
2026-09-14T18:23:28.419662,v3,Account,1,None,0.12,0.0000
2026-09-14T18:23:28.421089,v3,Account,1,None,0.13,0.0000
2026-09-14T18:23:28.422553,v3,Account,1,None,0.12,0.0000
2026-09-14T18:23:28.423342,v3,Account,1,None,0.10,0.0000
2026-09-14T18:23:28.424061,v3,Account,1,None,0.10,0.0000
2026-09-14T18:23:28.424890,v3,Account,1,None,0.09,0.0000
2026-09-14T18:23:28.425672,v3,Account,1,None,0.11,0.0000
2026-09-14T18:23:28.426383,v3,Account,1,None,0.08,0.0000
2026-09-14T18:23:28.427080,v3,Account,1,None,0.09,0.0000
2026-09-14T18:23:28.427778,v3,Account,1,None,0.09,0.0000
2026-09-14T18:23:28.428497,v3,Account,1,None,0.09,0.0000
2026-09-14T18:23:28.429196,v3,Account,1,None,0.09,0.0000
2026-09-14T18:23:28.429990,v3,Account,1,None,0.11,0.0000
2026-09-14T18:23:28.430735,v3,Account,1,None,0.09,0.0000
2026-09-14T18:23:28.431479,v3,Account,1,None,0.10,0.0000
2026-09-14T18:23:28.432226,v3,Account,1,None,0.10,0.0000
2026-09-14T18:23:28.432905,v3,Account,1,None,0.08,0.0000
2026-09-14T18:23:28.433586,v3,Account,1,None,0.09,0.0000

